173;1;CBU-89/B, A/B;CBU-89;3/7;702.00;339.40;120.00;
174;1;CBU-97/B;CBU-97;3/7;951.00;339.70;120.00;
175;1;CBU-103/B, A/B, B/B (WCMD);CBU-103;3/7;957.00;340.10;120.00;
176;1;CBU-104/B, A/B (WCMD);CBU-104;3/7;744.00;342.20;120.00;
177;1;CBU-105/B, A/B (WCMD);CBU-105;3/7;945.00;341.70;120.00;
178;1;CBU-105D/B (WCMD);CBU-105D;3/7;946.00;324.60;120.00;
179;1;CBU-107/B (PAW) (WCMD);CBU-107;3/7;996.00;341.50;120.00;
180;1;CBU-87/B, A/B, B/B, C/B CENTER;CBU-87;3/7;950.00;339.90;120.00;
181;1;CBU-87/B, A/B, B/B, C/B OUTBOARD;CBU-87;3/7;950.00;339.30;131.30;
182;1;CBU-89/B, A/B CENTER;CBU-89;3/7;702.00;340.20;120.00;
183;1;CBU-89/B, A/B OUTBOARD;CBU-89;3/7;702.00;339.60;131.30;
184;1;CBU-97/B CENTER;CBU-97;3/7;951.00;340.50;120.00;
185;1;CBU-97/B OUTBOARD;CBU-97;3/7;951.00;339.90;131.30;
186;1;CBU-103/B, A/B, B/B (WCMD) INBOARD;CBU-103;3/7;957.00;340.40;108.20;
187;1;CBU-103/B, A/B, B/B (WCMD) OUTBOARD;CBU-103;3/7;957.00;340.40;131.80;
188;1;CBU-104/B, A/B (WCMD) INBOARD;CBU-104;3/7;744.00;342.60;108.20;
189;1;CBU-104/B, A/B (WCMD) OUTBOARD;CBU-104;3/7;744.00;342.60;131.80;
190;1;CBU-105/B, A/B, B/B (WCMD) INBOARD;CBU-105;3/7;945.00;342.00;108.20;
191;1;CBU-105/B, A/B, B/B (WCMD) OUTBOARD;CBU-105;3/7;945.00;342.00;131.80;
192;1;CBU-105D/B (WCMD) INBOARD;CBU-105D;3/7;946.00;342.00;108.20;
193;1;CBU-105D/B (WCMD) OUTBOARD;CBU-105D;3/7;946.00;342.00;131.80;
194;1;CBU-107/B (WCMD) INBOARD;CBU-107;3/7;996.00;341.90;108.20;
195;1;CBU-107/B (WCMD) OUTBOARD;CBU-107;3/7;996.00;341.90;131.80;
